State,Keyword,Match type,Status,Suggested bid (low)(USD),Suggested bid (median)(USD),Suggested bid (high)(USD),Keyword bid(USD),Impressions,Clicks,CTR(%),Spend(USD),CPC(USD),Orders,Sales(USD),ACoS(%)
ENABLED,school lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.31,0.42,0.59,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch boxes men,EXACT,TARGETING_CLAUSE_STATUS_LIVE,1.07,1.07,1.07,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,thinkfit lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.45,0.55,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,launch box for men,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.25,0.25,0.28,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunchpail,EXACT,TARGETING_CLAUSE_STATUS_LIVE,,,,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,mens lunch tote,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.75,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,kids lunch pail,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.59,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,blue insulated lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.77,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box ice packs,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.81,0.82,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,bolsa para comida,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.55,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag cute,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.41,0.62,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunchkit,EXACT,TARGETING_CLAUSE_STATUS_LIVE,,,,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunh bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.33,0.34,0.55,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,ikea lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.63,0.78,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box containers insulated,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.65,0.75,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunchboxes for kids,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.52,0.56,0.65,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,stanley classic lunchbox,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.50,0.50,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bix,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.23,0.32,0.38,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,kids lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.38,0.51,0.68,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag eco friendly,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.88,0.93,1.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,vintage lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.28,0.40,0.51,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box liner,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.58,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,office lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.53,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,preped lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.44,0.50,0.79,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,tote lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.51,0.71,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,heat insulated lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.47,0.59,0.79,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,kids cooler bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.51,0.54,0.69,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,men lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.85,1.10,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,reusable drink bags,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.80,0.84,1.20,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,kids lunch box bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.51,0.55,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,thermal insulation bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.58,0.65,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bags pink,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.46,0.55,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch kids,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.69,0.75,0.81,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,ll bean lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.75,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,arctic ultra lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.44,0.56,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,work lunch,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.80,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,kids large lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.75,1.05,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag kids insulated,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.76,0.84,1.09,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated lunch bag kids,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.48,0.63,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch tote kids,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.75,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch boxes kids boys,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.90,1.01,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag compartment,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.75,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,kid lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.37,0.56,0.76,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,rtic lunchbox,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.56,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,toddler lunch box insulated,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.80,1.05,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch carrier,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.45,0.51,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,adult lunchbox women,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.47,0.64,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,adult lunch box men,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.56,0.75,1.05,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,hango,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.40,0.40,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,monster truck lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.44,0.50,0.75,0,0,,0.00,0.00,0,0.00,
